wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description
Albariño,White,oysters,Seafood,Italian,4,Good,Crisp acidity suits seafood.
Sauvignon Blanc,White,stir-fried tofu,Vegetarian,Argentinian,3,Neutral,Heuristic pairing assessment.
Provence Rosé,Rosé,cheese platter,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.
Gamay (Beaujolais),Red,fish tacos,Seafood,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,lemon tart,Dessert,German,1,Terrible,Low-acid wine seems flabby vs acids.
Nebbiolo,Red,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,German,4,Good,Heuristic pairing assessment.
Grenache,Red,mixed nuts,Salty Snack,Korean,4,Good,Heuristic pairing assessment.
Nebbiolo,Red,bbq brisket,Red Meat,American BBQ,3,Neutral,Tannic red complements red meat fat.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,carbonara,Pork,Middle Eastern,1,Terrible,Too lean for creamy dish.
Viognier,White,roast chicken with herbs,Poultry,Vietnamese,3,Neutral,Lighter wines fit poultry.
Port,Fortified,mac and cheese,Cheese,Greek,2,Poor,Heuristic pairing assessment.
Chardonnay,White,cheese platter,Cheese,Indian,4,Good,Heuristic pairing assessment.
Merlot,Red,cream of mushroom soup,Creamy,Argentinian,3,Neutral,Too lean for creamy dish.
Malbec,Red,bbq ribs,Smoky BBQ,German,4,Good,Heuristic pairing assessment.
Nebbiolo,Red,Indian vindaloo,Spicy,Vietnamese,1,Terrible,High tannin intensifies spice heat.
Ice Wine,Dessert,carbonara,Pork,Middle Eastern,3,Neutral,Richer body matches creamy textures.
Barbera,Red,beef stew,Red Meat,Korean,3,Neutral,Heuristic pairing assessment.
Syrah/Shiraz,Red,grilled burger,Smoky BBQ,Thai,5,Excellent,Idealized perfect pairing example for contrast.
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,German,3,Neutral,Heuristic pairing assessment.
Sauvignon Blanc,White,grilled salmon,Seafood,Middle Eastern,4,Good,Crisp acidity suits seafood.
Sauternes,Dessert,cheesecake,Dessert,German,3,Neutral,Sweet/sparkling pairs with dessert.
Albariño,White,cheesecake,Dessert,Spanish,5,Excellent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,pork tenderloin,Pork,Chinese (Sichuan),3,Neutral,Light/medium red suits richer poultry/pork.
Chardonnay,White,roast chicken with herbs,Poultry,Chinese (Sichuan),4,Good,Lighter wines fit poultry.
Nebbiolo,Red,alfredo pasta,Creamy,German,2,Poor,Too lean for creamy dish.
Ice Wine,Dessert,grilled salmon,Seafood,Greek,1,Terrible,Tannic reds clash with delicate seafood.
Torrontés,White,Thai curry,Spicy,German,3,Neutral,Heuristic pairing assessment.
Albariño,White,sorbet,Dessert,Ethiopian,2,Poor,Dry table wine clashes with dessert sweetness.
Viognier,White,duck à l’orange,Poultry,French,2,Poor,Heuristic pairing assessment.
Merlot,Red,mixed nuts,Salty Snack,Middle Eastern,2,Poor,Heuristic pairing assessment.
Chardonnay,White,chicken curry,Poultry,Chinese (Sichuan),5,Excellent,Lighter wines fit poultry.
Torrontés,White,fondue,Cheese,French,4,Good,Heuristic pairing assessment.
Sangiovese,Red,citrus salad,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.
Zinfandel,Red,smoked sausage,Smoky BBQ,Greek,4,Good,Heuristic pairing assessment.
Sangiovese,Red,roast chicken with herbs,Poultry,Thai,2,Poor,Heavy wine can dominate poultry.
Sauvignon Blanc,White,shrimp scampi,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.
Pinot Noir,Red,chicken curry,Poultry,Spanish,4,Good,Lighter wines fit poultry.
Malbec,Red,bbq brisket,Red Meat,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Middle Eastern,2,Poor,Heuristic pairing assessment.
Sauternes,Dessert,cheese platter,Cheese,Indian,2,Poor,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Poultry,Indian,3,Neutral,Heuristic pairing assessment.
Sangiovese,Red,stir-fried tofu,Vegetarian,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,Vegetarian,Mexican,4,Good,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,Pork,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Malbec,Red,bbq ribs,Smoky BBQ,American BBQ,2,Poor,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Vegetarian,Indian,4,Good,Heuristic pairing assessment.
Cava,Sparkling,mixed nuts,Salty Snack,German,3,Neutral,Heuristic pairing assessment.
Nebbiolo,Red,beef stew,Red Meat,Chinese (Sichuan),4,Good,Heuristic pairing assessment.
Madeira,Fortified,mac and cheese,Cheese,Japanese,5,Excellent,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,mushroom risotto,Vegetarian,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,shrimp scampi,Seafood,American BBQ,3,Neutral,Crisp acidity suits seafood.
Grenache,Red,fondue,Cheese,Middle Eastern,2,Poor,Heuristic pairing assessment.
Barbera,Red,fondue,Cheese,Spanish,2,Poor,Heuristic pairing assessment.
Albariño,White,cheesecake,Dessert,Argentinian,3,Neutral,Dry table wine clashes with dessert sweetness.
Malbec,Red,bbq ribs,Smoky BBQ,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,beef stew,Red Meat,Ethiopian,2,Poor,Heuristic pairing assessment.
Nebbiolo,Red,bbq brisket,Red Meat,Moroccan,3,Neutral,Tannic red complements red meat fat.
Champagne,Sparkling,fish tacos,Seafood,Italian,5,Excellent,Crisp acidity suits seafood.
Champagne,Sparkling,shrimp scampi,Seafood,Greek,4,Good,Crisp acidity suits seafood.
Nebbiolo,Red,bbq brisket,Red Meat,Chinese (Sichuan),5,Excellent,Tannic red complements red meat fat.
Ice Wine,Dessert,charcuterie board,Salty Snack,Italian,3,Neutral,Heuristic pairing assessment.
Champagne,Sparkling,grilled salmon,Seafood,Middle Eastern,3,Neutral,Crisp acidity suits seafood.
Ice Wine,Dessert,stir-fried tofu,Vegetarian,French,4,Good,Heuristic pairing assessment.
Sauternes,Dessert,smoked sausage,Smoky BBQ,German,4,Good,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Dessert,Mexican,4,Good,Heuristic pairing assessment.
Merlot,Red,cheese platter,Cheese,German,3,Neutral,Heuristic pairing assessment.
Grenache,Red,fondue,Cheese,French,2,Poor,Heuristic pairing assessment.
Nebbiolo,Red,bacon burger,Pork,Spanish,3,Neutral,Heuristic pairing assessment.
Provence Rosé,Rosé,beef stew,Red Meat,Korean,5,Excellent,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,chicken curry,Poultry,Argentinian,1,Terrible,Heavy wine can dominate poultry.
Gewürztraminer,White,Indian vindaloo,Spicy,Argentinian,5,Excellent,Idealized perfect pairing example for contrast.
Sauternes,Dessert,mixed nuts,Salty Snack,Mexican,2,Poor,Heuristic pairing assessment.
Riesling (dry),White,caprese salad,Acidic,Middle Eastern,2,Poor,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,Seafood,Argentinian,4,Good,Crisp acidity suits seafood.
Malbec,Red,roast lamb,Red Meat,Japanese,4,Good,Tannic red complements red meat fat.
Ice Wine,Dessert,duck à l’orange,Poultry,Ethiopian,5,Excellent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,roast lamb,Red Meat,Greek,3,Neutral,Tannic red complements red meat fat.
Madeira,Fortified,fondue,Cheese,Middle Eastern,4,Good,Heuristic pairing assessment.
Ice Wine,Dessert,mixed nuts,Salty Snack,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,mac and cheese,Cheese,Indian,2,Poor,Heuristic pairing assessment.
Nebbiolo,Red,Thai curry,Spicy,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,German,2,Poor,Heuristic pairing assessment.
Syrah/Shiraz,Red,roast lamb,Red Meat,German,4,Good,Tannic red complements red meat fat.
Tempranillo,Red,roast lamb,Red Meat,Spanish,4,Good,Tannic red complements red meat fat.
Malbec,Red,beef stew,Red Meat,Italian,4,Good,Heuristic pairing assessment.
Sangiovese,Red,stir-fried tofu,Vegetarian,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,mixed nuts,Salty Snack,Korean,2,Poor,Heuristic pairing assessment.
Ice Wine,Dessert,olives and cheese,Salty Snack,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Riesling (dry),White,Indian vindaloo,Spicy,Middle Eastern,3,Neutral,Off-dry sweetness calms spice.
Viognier,White,cream of mushroom soup,Creamy,Korean,3,Neutral,Richer body matches creamy textures.
Port,Fortified,grilled ribeye,Red Meat,Ethiopian,3,Neutral,Heuristic pairing assessment.
Riesling (dry),White,Sichuan noodles,Spicy,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,alfredo pasta,Creamy,Spanish,5,Excellent,Richer body matches creamy textures.
Pinot Noir,Red,chicken curry,Poultry,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,vegetable curry,Vegetarian,Ethiopian,4,Good,Heuristic pairing assessment.
Sangiovese,Red,vegetable curry,Vegetarian,Japanese,4,Good,Heuristic pairing assessment.
Madeira,Fortified,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.
Chardonnay,White,duck à l’orange,Poultry,Argentinian,2,Poor,Heuristic pairing assessment.
Viognier,White,caprese salad,Acidic,Japanese,3,Neutral,Heuristic pairing assessment.
Sauternes,Dessert,olives and cheese,Salty Snack,Vietnamese,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,charcuterie board,Salty Snack,Chinese (Sichuan),5,Excellent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,cheese platter,Cheese,Argentinian,3,Neutral,Heuristic pairing assessment.
Grüner Veltliner,White,shrimp scampi,Seafood,Argentinian,4,Good,Crisp acidity suits seafood.
Pinot Noir,Red,vegetable curry,Vegetarian,Thai,3,Neutral,Heuristic pairing assessment.
Syrah/Shiraz,Red,grilled ribeye,Red Meat,Vietnamese,3,Neutral,Heuristic pairing assessment.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Moroccan,3,Neutral,Heuristic pairing assessment.
Nebbiolo,Red,pork tenderloin,Pork,French,5,Excellent,Light/medium red suits richer poultry/pork.
Merlot,Red,mixed nuts,Salty Snack,Moroccan,3,Neutral,Heuristic pairing assessment.
Gewürztraminer,White,gazpacho,Acidic,Japanese,2,Poor,Low-acid wine seems flabby vs acids.
Sauternes,Dessert,cheesecake,Dessert,Vietnamese,3,Neutral,Sweet/sparkling pairs with dessert.
Port,Fortified,cheese platter,Cheese,Korean,2,Poor,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Vegetarian,Vietnamese,4,Good,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,Poultry,Middle Eastern,1,Terrible,Heavy wine can dominate poultry.
Zinfandel,Red,grilled burger,Smoky BBQ,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,cheese platter,Cheese,Argentinian,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,grilled burger,Smoky BBQ,Italian,3,Neutral,Heuristic pairing assessment.
Grüner Veltliner,White,cream of mushroom soup,Creamy,German,1,Terrible,Too lean for creamy dish.
Grenache,Red,cream of mushroom soup,Creamy,Vietnamese,2,Poor,Too lean for creamy dish.
Cava,Sparkling,fish tacos,Seafood,German,5,Excellent,Crisp acidity suits seafood.
Sangiovese,Red,caprese salad,Acidic,American BBQ,2,Poor,Heuristic pairing assessment.
Sauvignon Blanc,White,fish tacos,Seafood,Thai,3,Neutral,Crisp acidity suits seafood.
Gewürztraminer,White,Indian vindaloo,Spicy,French,3,Neutral,Heuristic pairing assessment.
Sauvignon Blanc,White,cheesecake,Dessert,Korean,2,Poor,Dry table wine clashes with dessert sweetness.
Albariño,White,carbonara,Creamy,Italian,1,Terrible,Too lean for creamy dish.
Sauternes,Dessert,fish tacos,Seafood,Korean,2,Poor,Tannic reds clash with delicate seafood.
Grenache,Red,cream of mushroom soup,Creamy,Argentinian,2,Poor,Too lean for creamy dish.
Madeira,Fortified,mac and cheese,Cheese,Korean,2,Poor,Heuristic pairing assessment.
Zinfandel,Red,bbq brisket,Red Meat,Argentinian,5,Excellent,Tannic red complements red meat fat.
Gewürztraminer,White,citrus salad,Acidic,Thai,2,Poor,Low-acid wine seems flabby vs acids.
Grüner Veltliner,White,fondue,Cheese,German,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,shrimp scampi,Seafood,French,1,Terrible,Tannic reds clash with delicate seafood.
Nebbiolo,Red,carbonara,Pork,Mexican,3,Neutral,Too lean for creamy dish.
Cava,Sparkling,mac and cheese,Cheese,Mexican,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,cream of mushroom soup,Creamy,German,3,Neutral,Richer body matches creamy textures.
Pinot Noir,Red,roast chicken with herbs,Poultry,Japanese,5,Excellent,Idealized perfect pairing example for contrast.
Riesling (dry),White,Sichuan noodles,Spicy,Moroccan,4,Good,Heuristic pairing assessment.
Nebbiolo,Red,beef stew,Red Meat,Japanese,4,Good,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Vegetarian,German,2,Poor,Heuristic pairing assessment.
Albariño,White,mac and cheese,Cheese,German,4,Good,Heuristic pairing assessment.
Nebbiolo,Red,beef stew,Red Meat,Thai,2,Poor,Heuristic pairing assessment.
Nebbiolo,Red,roast lamb,Red Meat,Ethiopian,5,Excellent,Idealized perfect pairing example for contrast.
Cava,Sparkling,shrimp scampi,Seafood,Argentinian,5,Excellent,Crisp acidity suits seafood.
Port,Fortified,caprese salad,Acidic,Greek,4,Good,Heuristic pairing assessment.
Barbera,Red,roast lamb,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,mixed nuts,Salty Snack,Mexican,4,Good,Heuristic pairing assessment.
Sangiovese,Red,stir-fried tofu,Vegetarian,Korean,4,Good,Heuristic pairing assessment.
Ice Wine,Dessert,grilled burger,Smoky BBQ,Ethiopian,2,Poor,Heuristic pairing assessment.
Viognier,White,cream of mushroom soup,Creamy,Argentinian,4,Good,Richer body matches creamy textures.
Gamay (Beaujolais),Red,grilled salmon,Seafood,Moroccan,4,Good,Light red (Pinot) with salmon works.
Gewürztraminer,White,beef stew,Red Meat,Moroccan,2,Poor,Heuristic pairing assessment.
Champagne,Sparkling,bbq brisket,Red Meat,French,1,Terrible,Delicate wine overwhelmed by red meat.
Viognier,White,duck à l’orange,Poultry,Japanese,4,Good,Heuristic pairing assessment.
Albariño,White,citrus salad,Acidic,French,4,Good,Acidic wine balances acidic food.
Merlot,Red,cream of mushroom soup,Creamy,Vietnamese,1,Terrible,Too lean for creamy dish.
Sauternes,Dessert,stir-fried tofu,Vegetarian,Ethiopian,4,Good,Heuristic pairing assessment.
Madeira,Fortified,chocolate mousse,Dessert,Mexican,2,Poor,Heuristic pairing assessment.
Syrah/Shiraz,Red,grilled ribeye,Red Meat,Middle Eastern,5,Excellent,Idealized perfect pairing example for contrast.
Chardonnay,White,cream of mushroom soup,Creamy,Argentinian,3,Neutral,Richer body matches creamy textures.
Chardonnay,White,cream of mushroom soup,Creamy,Japanese,3,Neutral,Richer body matches creamy textures.
Sauvignon Blanc,White,fish tacos,Seafood,Vietnamese,4,Good,Crisp acidity suits seafood.
Ice Wine,Dessert,fish tacos,Seafood,Indian,3,Neutral,Tannic reds clash with delicate seafood.
Nebbiolo,Red,Indian vindaloo,Spicy,Greek,5,Excellent,Idealized perfect pairing example for contrast.
Chardonnay,White,chicken curry,Poultry,Greek,3,Neutral,Lighter wines fit poultry.
Albariño,White,gazpacho,Acidic,Ethiopian,3,Neutral,Acidic wine balances acidic food.
Sauternes,Dessert,bbq ribs,Smoky BBQ,Italian,5,Excellent,Idealized perfect pairing example for contrast.
Pinot Noir,Red,gazpacho,Acidic,Greek,3,Neutral,Acidic wine balances acidic food.
Grüner Veltliner,White,beef stew,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Champagne,Sparkling,olives and cheese,Salty Snack,German,3,Neutral,Heuristic pairing assessment.
Gewürztraminer,White,fondue,Cheese,Greek,2,Poor,Heuristic pairing assessment.
Sauternes,Dessert,smoked sausage,Smoky BBQ,Moroccan,2,Poor,Heuristic pairing assessment.
Sauternes,Dessert,stir-fried tofu,Vegetarian,American BBQ,3,Neutral,Heuristic pairing assessment.
Malbec,Red,roast lamb,Red Meat,American BBQ,5,Excellent,Tannic red complements red meat fat.
Ice Wine,Dessert,duck à l’orange,Poultry,French,1,Terrible,Deliberately bad pairing example for contrast.
Zinfandel,Red,bbq ribs,Smoky BBQ,Chinese (Sichuan),5,Excellent,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,grilled salmon,Seafood,German,3,Neutral,Crisp acidity suits seafood.
Port,Fortified,cheese platter,Cheese,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.
Chardonnay,White,carbonara,Creamy,Korean,5,Excellent,Richer body matches creamy textures.
Viognier,White,duck à l’orange,Poultry,Japanese,2,Poor,Heuristic pairing assessment.
Albariño,White,cheesecake,Dessert,American BBQ,2,Poor,Dry table wine clashes with dessert sweetness.
Ice Wine,Dessert,roast chicken with herbs,Poultry,Moroccan,2,Poor,Heavy wine can dominate poultry.
Ice Wine,Dessert,vegetable curry,Vegetarian,Argentinian,3,Neutral,Heuristic pairing assessment.
Sangiovese,Red,mushroom risotto,Vegetarian,Moroccan,2,Poor,Heuristic pairing assessment.
Merlot,Red,olives and cheese,Salty Snack,French,4,Good,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,Red Meat,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,sorbet,Dessert,Greek,3,Neutral,Sweet/sparkling pairs with dessert.
Grenache,Red,pork tenderloin,Pork,Middle Eastern,3,Neutral,Light/medium red suits richer poultry/pork.
Sauternes,Dessert,smoked sausage,Smoky BBQ,Japanese,3,Neutral,Heuristic pairing assessment.
Tempranillo,Red,cheese platter,Cheese,Chinese (Sichuan),4,Good,Heuristic pairing assessment.
Viognier,White,cream of mushroom soup,Creamy,Mexican,4,Good,Richer body matches creamy textures.
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Mexican,2,Poor,Heuristic pairing assessment.
Nebbiolo,Red,grilled salmon,Seafood,Thai,2,Poor,Tannic reds clash with delicate seafood.
Gamay (Beaujolais),Red,grilled salmon,Seafood,Vietnamese,3,Neutral,Light red (Pinot) with salmon works.
Nebbiolo,Red,carbonara,Pork,American BBQ,2,Poor,Too lean for creamy dish.
Cava,Sparkling,fish tacos,Seafood,Japanese,4,Good,Crisp acidity suits seafood.
Grenache,Red,mixed nuts,Salty Snack,French,3,Neutral,Heuristic pairing assessment.
Sangiovese,Red,citrus salad,Acidic,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,beef stew,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.
Merlot,Red,beef stew,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.
Malbec,Red,fondue,Cheese,Ethiopian,3,Neutral,Heuristic pairing assessment.
Madeira,Fortified,cheesecake,Dessert,Italian,3,Neutral,Heuristic pairing assessment.
Albariño,White,beef stew,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Madeira,Fortified,fondue,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,shrimp scampi,Seafood,German,5,Excellent,Crisp acidity suits seafood.
Sauternes,Dessert,smoked sausage,Smoky BBQ,Indian,4,Good,Heuristic pairing assessment.
Sauternes,Dessert,pork tenderloin,Pork,Korean,3,Neutral,Heuristic pairing assessment.
Grenache,Red,bacon burger,Pork,Mexican,4,Good,Heuristic pairing assessment.
Madeira,Fortified,sorbet,Dessert,Middle Eastern,4,Good,Heuristic pairing assessment.
Pinot Noir,Red,bbq brisket,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,gazpacho,Acidic,Korean,4,Good,Acidic wine balances acidic food.
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,French,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Italian,3,Neutral,Heuristic pairing assessment.
Barbera,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.
Ice Wine,Dessert,sorbet,Dessert,Spanish,4,Good,Sweet/sparkling pairs with dessert.
Nebbiolo,Red,bacon burger,Pork,Mexican,2,Poor,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,Vegetarian,Japanese,5,Excellent,Idealized perfect pairing example for contrast.
Merlot,Red,charcuterie board,Salty Snack,Thai,3,Neutral,Heuristic pairing assessment.
Sauternes,Dessert,mixed nuts,Salty Snack,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.
Nebbiolo,Red,grilled salmon,Seafood,Chinese (Sichuan),2,Poor,Tannic reds clash with delicate seafood.
Grenache,Red,bacon burger,Pork,German,4,Good,Heuristic pairing assessment.
Malbec,Red,bbq brisket,Red Meat,Vietnamese,3,Neutral,Tannic red complements red meat fat.
Pinot Noir,Red,stir-fried tofu,Vegetarian,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,oysters,Seafood,Spanish,5,Excellent,Crisp acidity suits seafood.
Grüner Veltliner,White,alfredo pasta,Creamy,French,2,Poor,Too lean for creamy dish.
Sauternes,Dessert,mushroom risotto,Vegetarian,Mexican,3,Neutral,Heuristic pairing assessment.
Ice Wine,Dessert,oysters,Seafood,Indian,2,Poor,Tannic reds clash with delicate seafood.
Malbec,Red,smoked sausage,Smoky BBQ,Middle Eastern,4,Good,Heuristic pairing assessment.
Merlot,Red,cream of mushroom soup,Creamy,Middle Eastern,2,Poor,Too lean for creamy dish.
Ice Wine,Dessert,chicken curry,Poultry,Spanish,1,Terrible,Heavy wine can dominate poultry.
Viognier,White,cream of mushroom soup,Creamy,Greek,4,Good,Richer body matches creamy textures.
Albariño,White,alfredo pasta,Creamy,French,3,Neutral,Too lean for creamy dish.
Chardonnay,White,cream of mushroom soup,Creamy,American BBQ,4,Good,Richer body matches creamy textures.
Cabernet Sauvignon,Red,roast lamb,Red Meat,Spanish,3,Neutral,Tannic red complements red meat fat.
Sauternes,Dessert,bbq ribs,Smoky BBQ,Indian,4,Good,Heuristic pairing assessment.
Malbec,Red,caprese salad,Acidic,Argentinian,3,Neutral,Heuristic pairing assessment.
Pinot Noir,Red,citrus salad,Acidic,Spanish,5,Excellent,Acidic wine balances acidic food.
Gewürztraminer,White,gazpacho,Acidic,Vietnamese,1,Terrible,Low-acid wine seems flabby vs acids.
Sauvignon Blanc,White,fish tacos,Seafood,Korean,3,Neutral,Crisp acidity suits seafood.
Malbec,Red,gazpacho,Acidic,Thai,4,Good,Acidic wine balances acidic food.
Sauternes,Dessert,lemon tart,Dessert,Ethiopian,5,Excellent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Sauternes,Dessert,roast chicken with herbs,Poultry,Indian,2,Poor,Heavy wine can dominate poultry.
Grüner Veltliner,White,alfredo pasta,Creamy,Thai,2,Poor,Too lean for creamy dish.
Cabernet Sauvignon,Red,bbq brisket,Red Meat,Chinese (Sichuan),3,Neutral,Tannic red complements red meat fat.
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Vietnamese,4,Good,Heuristic pairing assessment.
Grenache,Red,mac and cheese,Cheese,Vietnamese,2,Poor,Heuristic pairing assessment.
Madeira,Fortified,mac and cheese,Cheese,Chinese (Sichuan),4,Good,Heuristic pairing assessment.
Sauternes,Dessert,olives and cheese,Salty Snack,German,3,Neutral,Heuristic pairing assessment.
Cabernet Sauvignon,Red,gazpacho,Acidic,Spanish,4,Good,Acidic wine balances acidic food.
Sauternes,Dessert,vegetable curry,Vegetarian,Japanese,2,Poor,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,Smoky BBQ,Spanish,2,Poor,Heuristic pairing assessment.
Ice Wine,Dessert,sorbet,Dessert,Middle Eastern,4,Good,Sweet/sparkling pairs with dessert.
Barbera,Red,mac and cheese,Cheese,French,3,Neutral,Heuristic pairing assessment.
Sauternes,Dessert,olives and cheese,Salty Snack,Indian,2,Poor,Heuristic pairing assessment.
Grüner Veltliner,White,fish tacos,Seafood,Vietnamese,3,Neutral,Crisp acidity suits seafood.
Ice Wine,Dessert,roast chicken with herbs,Poultry,Korean,3,Neutral,Heavy wine can dominate poultry.
Ice Wine,Dessert,grilled salmon,Seafood,Mexican,2,Poor,Tannic reds clash with delicate seafood.
Albariño,White,stir-fried tofu,Vegetarian,Spanish,1,Terrible,Deliberately bad pairing example for contrast.
Pinot Noir,Red,citrus salad,Acidic,Vietnamese,5,Excellent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,fish tacos,Seafood,Chinese (Sichuan),2,Poor,Tannic reds clash with delicate seafood.
Syrah/Shiraz,Red,bbq brisket,Red Meat,Middle Eastern,5,Excellent,Tannic red complements red meat fat.
Sauternes,Dessert,smoked sausage,Smoky BBQ,Middle Eastern,2,Poor,Heuristic pairing assessment.
Champagne,Sparkling,olives and cheese,Salty Snack,Ethiopian,3,Neutral,Heuristic pairing assessment.
Chardonnay,White,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.
Port,Fortified,chocolate mousse,Dessert,Argentinian,2,Poor,Heuristic pairing assessment.
Madeira,Fortified,fondue,Cheese,Indian,3,Neutral,Heuristic pairing assessment.
Viognier,White,mac and cheese,Cheese,Greek,2,Poor,Heuristic pairing assessment.
Merlot,Red,pork tenderloin,Pork,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Ethiopian,1,Terrible,Deliberately bad pairing example for contrast.
Cava,Sparkling,olives and cheese,Salty Snack,German,3,Neutral,Heuristic pairing assessment.
Zinfandel,Red,caprese salad,Acidic,German,2,Poor,Heuristic pairing assessment.
Barbera,Red,grilled ribeye,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.
Albariño,White,alfredo pasta,Creamy,Spanish,3,Neutral,Too lean for creamy dish.
Sauvignon Blanc,White,grilled salmon,Seafood,Japanese,5,Excellent,Crisp acidity suits seafood.
Sauvignon Blanc,White,lemon tart,Dessert,Korean,3,Neutral,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Sangiovese,Red,vegetable curry,Vegetarian,Korean,3,Neutral,Heuristic pairing assessment.
Pinot Noir,Red,caprese salad,Acidic,French,4,Good,Heuristic pairing assessment.
Merlot,Red,charcuterie board,Salty Snack,Indian,4,Good,Heuristic pairing assessment.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,pork tenderloin,Pork,Korean,4,Good,Heuristic pairing assessment.
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,American BBQ,5,Excellent,Idealized perfect pairing example for contrast.
Cava,Sparkling,shrimp scampi,Seafood,Indian,4,Good,Crisp acidity suits seafood.
Viognier,White,mac and cheese,Cheese,Italian,4,Good,Heuristic pairing assessment.
